"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"松山區","臺北市松山區復興北路481~510號","住",1060704,"土地1建物1車位0","四層","十一層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",960216,41.72,1,1,1,"有","有",8600000,206136,"RPRPMLSJQHMFFDA78DA"
"松山區","臺北市松山區寶清街89巷1~30號","住",1060619,"土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",610501,85.7,2,2,1,"有","無",12500000,145858,"RPTNMLLJQHMFFDA97CA"
"松山區","臺北市松山區敦化南路一段80巷31~60號","住",1060519,"土地2建物2車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,272.32,6,4,4,"有","無",23000000,84459,"RPSOMLMJQHMFFDA08CA"
"信義區","臺北市信義區福德街51巷1~30號","住",1060718,"土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,69.61,3,1,1,"有","無",10800000,155150,"RPTOMLMJQHMFFDA18CA"
"松山區","臺北市松山區南京東路五段123巷8弄1~30號","住",1060704,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",570828,137.01,3,2,2,"有","無",24000000,175170,"RPWOMLMJQHMFFDA48CA"
"中山區","臺北市中山區八德路二段151~180號","商",1060522,"土地1建物1車位0","全","二層","透天厝",NA,"加強磚造",NA,57.51,0,0,2,"有","無",14000000,243436,"RPPOMLMJQHMFFCA67CA"
"中山區","臺北市中山區新生北路二段91~120號","商",1060713,"土地1建物1車位0","四層","十四層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",680119,27.54,1,1,1,"有","有",3600000,130719,"RPPQMLLJQHMFFCA77CA"
"內湖區","臺北市內湖區安泰街53巷1~30號","住",1060717,"土地2建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730613,93.64,3,2,2,"有","無",8500000,90773,"RPRRMLLJQHMFFCA08CA"
"中山區","臺北市中山區農安街1~30號","商",1060706,"土地1建物1車位0","五層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",730323,65.61,3,2,2,"有","有",3900000,59442,"RPQPMLNJQHMFFCA97CA"
"中山區","臺北市中山區建國北路二段258巷1~30號","住",1060711,"土地1建物1車位0","四層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730925,142.04,4,2,2,"有","無",21000000,147846,"RPXPMLLMPHMFFCA68CA"
